,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,symbol,name,area,industry,list_date,证券代码,证券名称,一级行业代码,一级行业名称,二级行业代码,二级行业名称,三级行业代码,三级行业名称,四级行业代码,四级行业名称,个股静态市盈率,个股滚动市盈率,个股市净率,个股股息率,is_up
0,000001.SZ,20250620,11.7,11.86,11.67,11.84,11.7,0.14,1.1966,1309197.82,1544541.881,000001,平安银行,深圳,银行,19910403,000001,平安银行,40,金融,4010,银行,401010,商业银行,40101010,综合性银行,5.05,5.15,0.44,8.33,True
1,000002.SZ,20250620,6.33,6.34,6.28,6.29,6.32,-0.03,-0.4747,524484.9,330716.435,000002,万科A,深圳,全国地产,19910129,000002,万科A,60,房地产,6010,房地产,601010,房地产开发与园区,60101010,房地产开发,-,-,0.39,-,False
2,000004.SZ,20250620,8.92,8.97,8.52,8.57,8.9,-0.33,-3.7079,41510.0,35937.122,000004,*ST国华,深圳,软件服务,19910114,000004,*ST国华,45,信息技术,4510,计算机,451010,软件开发,45101010,通用软件,-,-,23.54,-,False
3,000006.SZ,20250620,6.53,6.78,6.51,6.78,6.55,0.23,3.5115,207266.28,137453.827,000006,深振业A,深圳,区域地产,19920427,000006,深振业A,60,房地产,6010,房地产,601010,房地产开发与园区,60101010,房地产开发,-,-,1.72,-,True
4,000007.SZ,20250620,7.55,7.62,7.36,7.56,7.55,0.01,0.1325,65984.5,49498.028,000007,全新好,深圳,其他商业,19920413,000007,全新好,60,房地产,6010,房地产,601020,房地产管理与服务,60102010,房地产管理,48.75,47.80,15.20,-,True
5,000008.SZ,20250620,2.72,2.76,2.7,2.71,2.71,0.0,0.0,287782.87,78333.445,000008,神州高铁,北京,运输设备,19920507,000008,神州高铁,20,工业,2040,机械制造,204030,交通运输设备,20403010,城轨铁路,-,-,2.51,-,False
6,000009.SZ,20250620,7.89,8.04,7.89,7.92,7.92,0.0,0.0,118221.47,94253.106,000009,中国宝安,深圳,电气设备,19910625,000009,中国宝安,20,工业,2030,电力设备,203030,储能设备,20303020,电池部件及材料,121.32,77.44,2.07,0.55,False
7,000010.SZ,20250620,2.96,3.01,2.87,2.9,2.96,-0.06,-2.027,198391.44,57904.511,000010,美丽生态,深圳,建筑工程,19951027,000010,美丽生态,20,工业,2020,建筑装饰,202010,建筑与工程,20201020,基础设施建设,205.51,99.34,12.23,-,False
8,000011.SZ,20250620,8.2,8.27,8.15,8.21,8.2,0.01,0.122,28480.0,23379.491,000011,深物业A,深圳,房产服务,19920330,000011,深物业A,60,房地产,6010,房地产,601010,房地产开发与园区,60101010,房地产开发,-,-,1.50,3.69,True
9,000012.SZ,20250620,4.55,4.58,4.55,4.56,4.56,0.0,0.0,51814.96,23638.13,000012,南玻A,深圳,玻璃,19920228,000012,南  玻A,15,原材料,1540,非金属材料,154010,建筑材料,15401020,玻璃,52.60,-,1.04,5.47,False
10,000014.SZ,20250620,11.36,11.48,11.21,11.25,11.35,-0.1,-0.8811,58014.0,65599.01,000014,沙河股份,深圳,全国地产,19920602,000014,沙河股份,60,房地产,6010,房地产,601010,房地产开发与园区,60101010,房地产开发,171.31,-,1.75,1.86,False
11,000016.SZ,20250620,4.6,4.65,4.55,4.56,4.62,-0.06,-1.2987,205448.72,94355.113,000016,深康佳A,深圳,家用电器,19920327,000016,深康佳A,25,可选消费,2520,耐用消费品,252010,家用电器,25201020,黑色家电,-,-,4.79,-,False
12,000017.SZ,20250620,6.42,6.49,6.34,6.36,6.45,-0.09,-1.3953,125723.0,80434.294,000017,深中华A,深圳,服饰,19920331,000017,深中华A,25,可选消费,2530,纺织服装与珠宝,253020,珠宝与奢侈品,25302010,珠宝与奢侈品,290.48,250.49,14.00,-,False
13,000019.SZ,20250620,6.51,6.56,6.5,6.52,6.52,0.0,0.0,51097.78,33357.281,000019,深粮控股,深圳,农业综合,19921012,000019,深粮控股,20,工业,2060,商业服务与用品,206010,商业服务与用品,20601040,贸易商,24.27,22.38,1.58,2.92,False
14,000020.SZ,20250620,14.01,15.2,13.5,13.65,14.58,-0.93,-6.3786,318963.6,450591.832,000020,深华发A,深圳,元器件,19920428,000020,深华发A,45,信息技术,4520,电子,452030,光学光电子,45203010,面板,95.42,94.04,8.56,-,False
15,000021.SZ,20250620,17.01,17.23,16.8,16.8,17.04,-0.24,-1.4085,163982.95,277925.566,000021,深科技,深圳,元器件,19940202,000021,深科技,45,信息技术,4520,电子,452010,电子终端及组件,45201040,安防设备及其他,28.57,26.91,2.19,0.76,False
16,000025.SZ,20250620,16.92,17.1,16.78,16.83,17.03,-0.2,-1.1744,50830.0,85951.231,000025,特力A,深圳,综合类,19930621,000025,特力A,60,房地产,6010,房地产,601020,房地产管理与服务,60102010,房地产管理,57.36,57.79,4.45,0.72,False
17,000026.SZ,20250620,11.5,11.56,11.22,11.25,11.46,-0.21,-1.8325,70573.0,80021.02,000026,飞亚达,深圳,服饰,19930603,000026,飞亚达,25,可选消费,2530,纺织服装与珠宝,253020,珠宝与奢侈品,25302010,珠宝与奢侈品,21.89,25.15,1.40,6.73,False
18,000027.SZ,20250620,6.32,6.35,6.28,6.3,6.33,-0.03,-0.4739,117227.6,73928.976,000027,深圳能源,深圳,火力发电,19930903,000027,深圳能源,55,公用事业,5510,公用事业,551010,电力及电网,55101010,火电,15.16,13.50,0.61,2.19,False
19,000028.SZ,20250620,24.82,24.95,24.81,24.84,24.81,0.03,0.1209,15982.7,39746.57,000028,国药一致,深圳,医药商业,19930809,000028,国药一致,35,医药卫生,3510,医疗,351020,医疗商业与服务,35102020,医药商业,22.07,24.38,0.79,2.67,True
20,000029.SZ,20250620,19.5,19.97,19.02,19.2,19.36,-0.16,-0.8264,55718.73,108410.537,000029,深深房A,深圳,区域地产,19930915,000029,深深房A,60,房地产,6010,房地产,601010,房地产开发与园区,60101010,房地产开发,-,-,5.67,-,False
21,000030.SZ,20250620,5.69,5.74,5.65,5.7,5.7,0.0,0.0,56975.11,32437.851,000030,富奥股份,吉林,汽车配件,19930929,000030,富奥股份,25,可选消费,2510,乘用车及零部件,251010,汽车零部件与轮胎,25101010,汽车系统部件,15.20,15.19,1.27,4.18,False
